,city id,city,country,latitude,longitute,temperature(C),humidity(%),wind speed(mps),cloud(%),receive date
0,3670218,San Andrés,CO,12.5847,-81.7006,27.01,89,1.03,75,20-06-2022 13:49:34
1,2173911,Broken Hill,AU,-31.95,141.4333,17.31,35,6.03,76,20-06-2022 13:49:35
2,110690,Faya,SA,18.3851,42.4509,21.29,40,0.87,100,20-06-2022 13:49:36
3,3389822,Salinópolis,BR,-0.6136,-47.3561,25.48,86,4.75,100,20-06-2022 13:49:36
4,1106677,Bambous Virieux,MU,-20.3428,57.7575,19.14,88,2.06,40,20-06-2022 13:48:32
5,3652764,Puerto Ayora,EC,-0.7393,-90.3518,21.42,96,1.79,90,20-06-2022 13:49:38
6,4030556,Rikitea,PF,-23.1203,-134.9692,22.1,59,8.85,91,20-06-2022 13:49:38
7,3355672,Lüderitz,NA,-26.6481,15.1594,11.88,87,6.11,12,20-06-2022 13:49:39
8,2377457,Nouadhibou,MR,20.931,-17.0347,23.99,83,1.03,83,20-06-2022 13:49:40
9,1649150,Bengkulu,ID,-3.8004,102.2655,26.34,85,4.71,60,20-06-2022 13:49:40
10,4726521,San Patricio,US,28.017,-97.5169,27.53,80,3.79,5,20-06-2022 13:49:41
11,3356832,Henties Bay,NA,-22.116,14.2845,11.36,88,2.73,1,20-06-2022 13:49:42
12,1337619,Ugoofaaru,MV,5.6667,73.0,28.09,74,4.96,55,20-06-2022 13:49:43
13,1267390,Kavaratti,IN,10.5669,72.642,27.88,77,6.65,99,20-06-2022 13:49:43
14,2450173,Taoudenni,ML,22.6783,-3.9836,32.17,28,4.86,85,20-06-2022 13:49:44
15,100926,Umluj,SA,25.0213,37.2685,29.27,57,4.69,5,20-06-2022 13:49:45
16,3671387,Puerto Nariño,CO,-3.7703,-70.3831,22.4,81,0.48,100,20-06-2022 13:49:45
17,2414925,Telimele,GN,10.9167,-13.3333,19.95,98,0.97,99,20-06-2022 13:49:46
18,2638419,Scarborough,GB,54.2797,-0.4044,11.13,82,1.34,54,20-06-2022 13:49:47
19,4020109,Atuona,PF,-9.8,-139.0333,25.45,78,7.71,30,20-06-2022 13:49:48
20,1735106,George Town,MY,5.4112,100.3354,29.98,74,2.57,20,20-06-2022 13:49:48
21,1052373,Beira,MZ,-19.8436,34.8389,16.05,94,2.06,20,20-06-2022 13:49:49
22,6355222,Yulara,AU,-25.2406,130.9889,22.99,23,2.78,0,20-06-2022 13:49:50
23,3361934,Saldanha,ZA,-33.0117,17.9442,9.03,76,5.68,1,20-06-2022 13:49:51
24,1255619,Srīvardhan,IN,18.0333,73.0167,27.58,81,3.63,100,20-06-2022 13:49:51
25,60019,Eyl,SO,7.9803,49.8164,26.52,62,12.11,83,20-06-2022 13:49:52
26,2071860,Esperance,AU,-33.8667,121.9,15.15,71,5.32,98,20-06-2022 13:49:53
27,1562798,Vinh,VN,18.6667,105.6667,35.5,46,4.47,100,20-06-2022 13:48:25
28,3408424,Ipixuna,BR,-1.7625,-48.8043,22.05,98,1.5,99,20-06-2022 13:49:54
29,949683,Thabazimbi,ZA,-24.5917,27.4116,14.0,59,1.46,0,20-06-2022 13:49:55
30,1154689,Ko Samui,TH,9.5357,99.9357,32.95,62,3.6,20,20-06-2022 13:49:55
31,3647444,Calabozo,VE,8.9242,-67.4293,24.03,71,2.04,48,20-06-2022 13:49:56
32,3665315,Anori,BR,-3.7728,-61.6442,22.89,94,0.82,48,20-06-2022 13:49:57
33,1651810,Airai,TL,-8.9266,125.4092,22.29,42,1.78,76,20-06-2022 13:49:57
34,3372707,Ribeira Grande,PT,38.5167,-28.7,17.46,75,9.75,25,20-06-2022 13:49:58
35,64814,Bandarbeyla,SO,9.4942,50.8122,27.09,59,12.53,65,20-06-2022 13:49:59
36,3394023,Natal,BR,-5.795,-35.2094,25.12,88,2.06,20,20-06-2022 13:47:34
37,6929460,Panzhihua,CN,26.5851,101.7128,30.19,54,1.41,71,20-06-2022 13:50:01
38,4026082,Lázaro Cárdenas,MX,17.9583,-102.2,26.77,79,1.76,99,20-06-2022 13:47:22
39,1282256,Hithadhoo,MV,-0.6,73.0833,28.2,72,4.21,93,20-06-2022 13:50:02
40,3466980,Caravelas,BR,-17.7125,-39.2481,21.25,83,2.07,1,20-06-2022 13:50:03
41,1275901,Bhiwandi,IN,19.3,73.0667,25.92,76,5.43,100,20-06-2022 13:50:04
42,2445704,Diffa,NE,13.3154,12.6113,27.49,52,5.26,53,20-06-2022 13:50:05
43,415189,Aden,YE,12.7794,45.0367,31.78,69,5.8,100,20-06-2022 13:50:06
44,1636426,Manggar,ID,-2.8833,108.2667,27.48,82,4.01,84,20-06-2022 13:50:07
45,4565090,Guánica,PR,17.9716,-66.908,25.07,83,2.22,20,20-06-2022 13:50:07
46,2070998,Geraldton,AU,-28.7667,114.6,19.23,72,4.12,0,20-06-2022 13:50:08
47,3516171,Barra de Tecoanapa,MX,16.5167,-98.75,24.76,88,1.85,100,20-06-2022 13:50:09
48,3453512,Pirenópolis,BR,-15.8525,-48.9592,20.27,48,2.46,0,20-06-2022 13:50:10
49,2331005,Malumfashi,NG,11.7853,7.6218,24.08,70,3.26,2,20-06-2022 13:50:10
50,3374210,São Filipe,CV,14.8961,-24.4956,23.25,94,5.32,100,20-06-2022 13:50:11
51,1259385,Port Blair,IN,11.6667,92.75,30.02,79,3.09,40,20-06-2022 13:50:12
52,1054463,Tsiroanomandidy,MG,-18.7667,46.0333,15.07,78,0.96,24,20-06-2022 13:50:13
53,2074865,Carnarvon,AU,-24.8667,113.6333,21.2,59,6.14,0,20-06-2022 13:50:13
54,4004293,Ixtapa,MX,20.7,-105.2,27.9,85,0.45,91,20-06-2022 13:50:14
55,3471451,Arraial do Cabo,BR,-22.9661,-42.0278,20.36,74,5.04,28,20-06-2022 13:50:15
56,5122534,Jamestown,US,42.097,-79.2353,14.04,71,2.06,0,20-06-2022 13:47:58
57,2303611,Esim,GH,4.8699,-2.2405,24.12,91,1.6,98,20-06-2022 13:50:16
58,178443,Wajir,KE,1.7471,40.0573,23.98,73,0.0,75,20-06-2022 13:50:17
59,5364271,Laguna,US,38.421,-121.4238,24.93,35,4.12,0,20-06-2022 13:50:18
